Date,variable,value
2022-04-03,Second_Booster,
2022-04-02,Second_Booster,
2022-04-01,Second_Booster,
2022-03-31,Second_Booster,
2022-03-30,Second_Booster,
2022-03-29,Second_Booster,
2022-03-28,Second_Booster,
2022-03-27,Second_Booster,
2022-03-26,Second_Booster,
2022-03-25,Second_Booster,
2022-03-24,Second_Booster,
2022-03-23,Second_Booster,
2022-03-22,Second_Booster,
2022-03-21,Second_Booster,
2022-03-20,Second_Booster,
2022-03-19,Second_Booster,
2022-03-18,Second_Booster,
2022-03-17,Second_Booster,
2022-03-16,Second_Booster,
2022-03-15,Second_Booster,
2022-03-14,Second_Booster,
2022-03-13,Second_Booster,
2022-03-12,Second_Booster,
2022-03-11,Second_Booster,
2022-03-10,Second_Booster,
2022-03-09,Second_Booster,
2022-03-08,Second_Booster,
2022-03-07,Second_Booster,
2022-03-06,Second_Booster,
2022-03-05,Second_Booster,
2022-03-04,Second_Booster,
2022-03-03,Second_Booster,
2022-03-02,Second_Booster,
2022-03-01,Second_Booster,
2022-02-28,Second_Booster,
2022-02-27,Second_Booster,
2022-02-26,Second_Booster,
2022-02-25,Second_Booster,
2022-02-24,Second_Booster,
2022-02-23,Second_Booster,
2022-02-22,Second_Booster,
2022-02-21,Second_Booster,
2022-02-20,Second_Booster,
2022-02-19,Second_Booster,
2022-02-18,Second_Booster,
2022-02-17,Second_Booster,
2022-02-16,Second_Booster,
2022-02-15,Second_Booster,
2022-02-14,Second_Booster,
2022-02-13,Second_Booster,
2022-02-12,Second_Booster,
2022-02-11,Second_Booster,
2022-02-10,Second_Booster,
2022-02-09,Second_Booster,
2022-02-08,Second_Booster,
2022-02-07,Second_Booster,
2022-02-06,Second_Booster,
2022-02-05,Second_Booster,
2022-02-04,Second_Booster,
2022-02-03,Second_Booster,
2022-02-02,Second_Booster,
2022-02-01,Second_Booster,
2022-01-31,Second_Booster,
2022-01-30,Second_Booster,
2022-01-29,Second_Booster,
2022-01-28,Second_Booster,
2022-01-27,Second_Booster,
2022-01-26,Second_Booster,
2022-01-25,Second_Booster,
2022-01-24,Second_Booster,
2022-01-23,Second_Booster,
2022-01-22,Second_Booster,
2022-01-21,Second_Booster,
2022-01-20,Second_Booster,
2022-01-19,Second_Booster,
2022-01-18,Second_Booster,
2022-01-17,Second_Booster,
2022-01-16,Second_Booster,
2022-01-15,Second_Booster,
2022-01-14,Second_Booster,
2022-01-13,Second_Booster,
2022-01-12,Second_Booster,
2022-01-11,Second_Booster,
2022-01-10,Second_Booster,
2022-01-09,Second_Booster,
2022-01-08,Second_Booster,
2022-01-07,Second_Booster,
2022-01-06,Second_Booster,
2022-01-05,Second_Booster,
2022-01-04,Second_Booster,
2022-01-03,Second_Booster,
2022-01-02,Second_Booster,
2022-01-01,Second_Booster,
2021-12-31,Second_Booster,
2021-12-30,Second_Booster,
2021-12-29,Second_Booster,
2021-12-28,Second_Booster,
2021-12-27,Second_Booster,
2021-12-26,Second_Booster,
2021-12-25,Second_Booster,
2021-12-24,Second_Booster,
2021-12-23,Second_Booster,
2021-12-22,Second_Booster,
2021-12-21,Second_Booster,
2021-12-20,Second_Booster,
2021-12-19,Second_Booster,
2021-12-18,Second_Booster,
2021-12-17,Second_Booster,
2021-12-16,Second_Booster,
2021-12-15,Second_Booster,
2021-12-14,Second_Booster,
2021-12-13,Second_Booster,
2021-12-12,Second_Booster,
2021-12-11,Second_Booster,
2021-12-10,Second_Booster,
2021-12-09,Second_Booster,
2021-12-08,Second_Booster,
2021-12-07,Second_Booster,
2021-12-06,Second_Booster,
2021-12-05,Second_Booster,
2021-12-04,Second_Booster,
2021-12-03,Second_Booster,
2021-12-02,Second_Booster,
2021-12-01,Second_Booster,
2021-11-30,Second_Booster,
2021-11-29,Second_Booster,
2021-11-28,Second_Booster,
2021-11-27,Second_Booster,
2021-11-26,Second_Booster,
2021-11-25,Second_Booster,
2021-11-24,Second_Booster,
2021-11-23,Second_Booster,
2021-11-22,Second_Booster,
2021-11-21,Second_Booster,
2021-11-20,Second_Booster,
2021-11-19,Second_Booster,
2021-11-18,Second_Booster,
2021-11-17,Second_Booster,
2021-11-16,Second_Booster,
2021-11-15,Second_Booster,
2021-11-14,Second_Booster,
2021-11-13,Second_Booster,
2021-11-12,Second_Booster,
2021-11-11,Second_Booster,
2021-11-10,Second_Booster,
2021-11-09,Second_Booster,
2021-11-08,Second_Booster,
2021-11-07,Second_Booster,
2021-11-06,Second_Booster,
2021-11-05,Second_Booster,
2021-11-04,Second_Booster,
2021-11-03,Second_Booster,
2021-11-02,Second_Booster,
2021-11-01,Second_Booster,
2021-10-31,Second_Booster,
2021-10-30,Second_Booster,
2021-10-29,Second_Booster,
2021-10-28,Second_Booster,
2021-10-27,Second_Booster,
2021-10-26,Second_Booster,
2021-10-25,Second_Booster,
2021-10-24,Second_Booster,
2021-10-23,Second_Booster,
2021-10-22,Second_Booster,
2021-10-21,Second_Booster,
2021-10-20,Second_Booster,
2021-10-19,Second_Booster,
2021-10-18,Second_Booster,
2021-10-17,Second_Booster,
2021-10-16,Second_Booster,
2021-10-15,Second_Booster,
2021-10-14,Second_Booster,
2021-10-13,Second_Booster,
2021-10-12,Second_Booster,
2021-10-11,Second_Booster,
2021-10-10,Second_Booster,
2021-10-09,Second_Booster,
2021-10-08,Second_Booster,
2021-10-07,Second_Booster,
2021-10-06,Second_Booster,
2021-10-05,Second_Booster,
2021-10-04,Second_Booster,
2021-10-03,Second_Booster,
2021-10-02,Second_Booster,
2021-10-01,Second_Booster,
2021-09-30,Second_Booster,
2021-09-29,Second_Booster,
2021-09-28,Second_Booster,
2021-09-27,Second_Booster,
2021-09-26,Second_Booster,
2021-09-25,Second_Booster,
2021-09-24,Second_Booster,
2021-09-23,Second_Booster,
2021-09-22,Second_Booster,
2021-09-21,Second_Booster,
2021-09-20,Second_Booster,
2021-09-19,Second_Booster,
2021-09-18,Second_Booster,
2021-09-17,Second_Booster,
2021-09-16,Second_Booster,
2021-09-15,Second_Booster,
2021-09-14,Second_Booster,
2021-09-13,Second_Booster,
2021-09-12,Second_Booster,
2021-09-11,Second_Booster,
2021-09-10,Second_Booster,
2021-09-09,Second_Booster,
2021-09-08,Second_Booster,
2021-09-07,Second_Booster,
2021-09-06,Second_Booster,
2021-09-05,Second_Booster,
2021-09-04,Second_Booster,
2021-09-03,Second_Booster,
2021-09-02,Second_Booster,
2021-09-01,Second_Booster,
2021-08-31,Second_Booster,
2021-08-30,Second_Booster,
2021-08-29,Second_Booster,
2021-08-28,Second_Booster,
2021-08-27,Second_Booster,
2021-08-26,Second_Booster,
2021-08-25,Second_Booster,
2021-08-24,Second_Booster,
2021-08-23,Second_Booster,
2021-08-22,Second_Booster,
2021-08-21,Second_Booster,
2021-08-20,Second_Booster,
2021-08-19,Second_Booster,
2021-08-18,Second_Booster,
2021-08-17,Second_Booster,
2021-08-16,Second_Booster,
2021-08-15,Second_Booster,
2021-08-14,Second_Booster,
2021-08-13,Second_Booster,
2021-08-12,Second_Booster,
2021-08-11,Second_Booster,
2021-08-10,Second_Booster,
2021-08-09,Second_Booster,
2021-08-08,Second_Booster,
2021-08-07,Second_Booster,
2021-08-06,Second_Booster,
2021-08-05,Second_Booster,
2021-08-04,Second_Booster,
2021-08-03,Second_Booster,
2021-08-02,Second_Booster,
2021-08-01,Second_Booster,
2021-07-31,Second_Booster,
2021-07-30,Second_Booster,
2021-07-29,Second_Booster,
2021-07-28,Second_Booster,
2021-07-27,Second_Booster,
2021-07-26,Second_Booster,
2021-07-25,Second_Booster,
2021-07-24,Second_Booster,
2021-07-23,Second_Booster,
2021-07-22,Second_Booster,
2021-07-21,Second_Booster,
2021-07-20,Second_Booster,
2021-07-19,Second_Booster,
2021-07-18,Second_Booster,
2021-07-17,Second_Booster,
2021-07-16,Second_Booster,
2021-07-15,Second_Booster,
2021-07-14,Second_Booster,
2021-07-13,Second_Booster,
2021-07-12,Second_Booster,
2021-07-11,Second_Booster,
2021-07-10,Second_Booster,
2021-07-09,Second_Booster,
2021-07-08,Second_Booster,
2021-07-07,Second_Booster,
2021-07-06,Second_Booster,
2021-07-05,Second_Booster,
2021-07-04,Second_Booster,
2021-07-03,Second_Booster,
2021-07-02,Second_Booster,
2021-07-01,Second_Booster,
2021-06-30,Second_Booster,
2021-06-29,Second_Booster,
2021-06-28,Second_Booster,
2021-06-27,Second_Booster,
2021-06-26,Second_Booster,
2021-06-25,Second_Booster,
2021-06-24,Second_Booster,
2021-06-23,Second_Booster,
2021-06-22,Second_Booster,
2021-06-21,Second_Booster,
2021-06-20,Second_Booster,
2021-06-19,Second_Booster,
2021-06-18,Second_Booster,
2021-06-17,Second_Booster,
2021-06-16,Second_Booster,
2021-06-15,Second_Booster,
2021-06-14,Second_Booster,
2021-06-13,Second_Booster,
2021-06-12,Second_Booster,
2021-06-11,Second_Booster,
2021-06-10,Second_Booster,
2021-06-09,Second_Booster,
2021-06-08,Second_Booster,
2021-06-07,Second_Booster,
2021-06-06,Second_Booster,
2021-06-05,Second_Booster,
2021-06-04,Second_Booster,
2021-06-03,Second_Booster,
2021-06-02,Second_Booster,
2021-06-01,Second_Booster,
2021-05-31,Second_Booster,
2021-05-30,Second_Booster,
2021-05-29,Second_Booster,
2021-05-28,Second_Booster,
2021-05-27,Second_Booster,
2021-05-26,Second_Booster,
2021-05-25,Second_Booster,
2021-05-24,Second_Booster,
2021-05-23,Second_Booster,
2021-05-22,Second_Booster,
2021-05-21,Second_Booster,
2021-05-20,Second_Booster,
2021-05-19,Second_Booster,
2021-05-18,Second_Booster,
2021-05-17,Second_Booster,
2021-05-16,Second_Booster,
2021-05-15,Second_Booster,
2021-05-14,Second_Booster,
2021-05-13,Second_Booster,
2021-05-12,Second_Booster,
2021-05-11,Second_Booster,
2021-05-10,Second_Booster,
2021-05-09,Second_Booster,
2021-05-08,Second_Booster,
2021-05-07,Second_Booster,
2021-05-06,Second_Booster,
2021-05-05,Second_Booster,
2021-05-04,Second_Booster,
2021-05-03,Second_Booster,
2021-05-02,Second_Booster,
2021-05-01,Second_Booster,
2021-04-30,Second_Booster,
2021-04-29,Second_Booster,
2021-04-28,Second_Booster,
2021-04-27,Second_Booster,
2021-04-26,Second_Booster,
2021-04-25,Second_Booster,
2021-04-24,Second_Booster,
2021-04-23,Second_Booster,
2021-04-22,Second_Booster,
2021-04-21,Second_Booster,
2021-04-20,Second_Booster,
2021-04-19,Second_Booster,
2021-04-18,Second_Booster,
2021-04-17,Second_Booster,
2021-04-16,Second_Booster,
2021-04-15,Second_Booster,
2021-04-14,Second_Booster,
2021-04-13,Second_Booster,
2021-04-12,Second_Booster,
2021-04-11,Second_Booster,
2021-04-10,Second_Booster,
2021-04-09,Second_Booster,
2021-04-08,Second_Booster,
2021-04-07,Second_Booster,
2021-04-06,Second_Booster,
2021-04-05,Second_Booster,
2021-04-04,Second_Booster,
2021-04-03,Second_Booster,
2021-04-02,Second_Booster,
2021-04-01,Second_Booster,
2021-03-31,Second_Booster,
2021-03-30,Second_Booster,
2021-03-29,Second_Booster,
2021-03-28,Second_Booster,
2021-03-27,Second_Booster,
2021-03-26,Second_Booster,
2021-03-25,Second_Booster,
2021-03-24,Second_Booster,
2021-03-23,Second_Booster,
2021-03-22,Second_Booster,
2021-03-21,Second_Booster,
2021-03-20,Second_Booster,
2021-03-19,Second_Booster,
2021-03-18,Second_Booster,
2021-03-17,Second_Booster,
2021-03-16,Second_Booster,
2021-03-15,Second_Booster,
2021-03-14,Second_Booster,
2021-03-13,Second_Booster,
2021-03-12,Second_Booster,
2021-03-11,Second_Booster,
2021-03-10,Second_Booster,
2021-03-09,Second_Booster,
2021-03-08,Second_Booster,
2021-03-07,Second_Booster,
2021-03-06,Second_Booster,
2021-03-05,Second_Booster,
2021-03-04,Second_Booster,
2021-03-03,Second_Booster,
2021-03-02,Second_Booster,
2021-03-01,Second_Booster,
2021-02-28,Second_Booster,
2021-02-27,Second_Booster,
2021-02-26,Second_Booster,
2021-02-25,Second_Booster,
2021-02-24,Second_Booster,
2021-02-23,Second_Booster,
2021-02-22,Second_Booster,
2021-02-21,Second_Booster,
2021-02-20,Second_Booster,
2021-02-19,Second_Booster,
2021-02-18,Second_Booster,
2021-02-17,Second_Booster,
2021-02-16,Second_Booster,
2021-02-15,Second_Booster,
2021-02-14,Second_Booster,
2021-02-13,Second_Booster,
2021-02-12,Second_Booster,
2021-02-11,Second_Booster,
2021-02-10,Second_Booster,
2021-02-09,Second_Booster,
2021-02-08,Second_Booster,
2021-02-07,Second_Booster,
2021-02-06,Second_Booster,
2021-02-05,Second_Booster,
2021-02-04,Second_Booster,
2021-02-03,Second_Booster,
2021-02-02,Second_Booster,
2021-02-01,Second_Booster,
2021-01-31,Second_Booster,
2021-01-30,Second_Booster,
2021-01-29,Second_Booster,
2021-01-28,Second_Booster,
2021-01-27,Second_Booster,
2021-01-26,Second_Booster,
2021-01-25,Second_Booster,
2021-01-24,Second_Booster,
2021-01-23,Second_Booster,
2021-01-22,Second_Booster,
2021-01-21,Second_Booster,
2021-01-20,Second_Booster,
2021-01-19,Second_Booster,
2021-01-18,Second_Booster,
2021-01-17,Second_Booster,
2021-01-16,Second_Booster,
2021-01-15,Second_Booster,
2021-01-14,Second_Booster,
2021-01-13,Second_Booster,
2021-01-12,Second_Booster,
2021-01-11,Second_Booster,
2021-01-10,Second_Booster,
2021-01-09,Second_Booster,
2021-01-08,Second_Booster,
2021-01-07,Second_Booster,
2021-01-06,Second_Booster,
2021-01-05,Second_Booster,
2021-01-04,Second_Booster,
2021-01-03,Second_Booster,
2021-01-02,Second_Booster,
2021-01-01,Second_Booster,
2020-12-31,Second_Booster,
2020-12-30,Second_Booster,
2020-12-29,Second_Booster,
2020-12-28,Second_Booster,
2020-12-27,Second_Booster,
2020-12-26,Second_Booster,
2020-12-25,Second_Booster,
2020-12-24,Second_Booster,
2020-12-23,Second_Booster,
2020-12-22,Second_Booster,
2020-12-21,Second_Booster,
2020-12-20,Second_Booster,
2020-12-19,Second_Booster,
2020-12-18,Second_Booster,
2020-12-17,Second_Booster,
2020-12-16,Second_Booster,
2020-12-15,Second_Booster,
2020-12-14,Second_Booster,
2020-12-13,Second_Booster,
